symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
3,4.4953553199808844,168.8,4.175924549214524,48.8,2548,4.875197323201151,3.47,2.68,2.302585092994046,4.718498871295094,5000,21,27,13495.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,4.4953553199808844,168.8,4.175924549214524,48.8,2548,4.875197323201151,3.47,2.68,2.302585092994046,4.718498871295094,5000,21,27,16500.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,4.5591262474866845,171.2,4.197201947661808,52.4,2823,5.030437921392435,2.68,3.47,2.302585092994046,5.043425116919247,5000,19,26,16500.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,4.613138355637268,176.6,4.207673247529104,54.3,2337,4.700480365792417,3.19,3.4,2.3978952727983707,4.634728988229636,5500,24,30,13950.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,4.609162207257629,176.6,4.210645017918261,54.3,2824,4.919980925828125,3.19,3.4,2.1972245773362196,4.7535901911063645,5500,18,22,17450.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,4.613138355637268,177.3,4.209160236650682,53.1,2507,4.919980925828125,3.19,3.4,2.2512917986064953,4.709530201312334,5500,19,25,15250.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,4.6709579265260945,192.7,4.282206299391671,55.7,2844,4.919980925828125,3.19,3.4,2.2512917986064953,4.709530201312334,5500,19,25,17710.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,4.6709579265260945,192.7,4.282206299391671,55.7,2954,4.919980925828125,3.19,3.4,2.2512917986064953,4.709530201312334,5500,19,25,18920.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,4.6709579265260945,192.7,4.282206299391671,55.9,3086,4.882801922586371,3.13,3.4,2.2300144001592104,4.948759890378168,5500,17,20,23875.0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,4.61015772749913,178.2,4.232656178019613,52.0,3053,4.882801922586371,3.13,3.4,2.0794415416798357,5.081404364984463,5500,16,22,17859.167,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,4.626931677769604,176.8,4.186619838331271,54.3,2395,4.6913478822291435,3.5,2.8,2.2823823856765264,4.624972813284271,5800,23,29,16430.0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,4.626931677769604,176.8,4.186619838331271,54.3,2395,4.6913478822291435,3.5,2.8,2.2823823856765264,4.624972813284271,5800,23,29,16925.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,4.626931677769604,176.8,4.186619838331271,54.3,2710,5.10594547390058,3.31,3.19,2.302585092994046,4.804021044733257,4250,21,28,20970.0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4.626931677769604,176.8,4.186619838331271,54.3,2765,5.10594547390058,3.31,3.19,2.302585092994046,4.804021044733257,4250,21,28,21105.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,4.6491870714048655,189.0,4.21803603456465,55.7,3055,5.10594547390058,3.31,3.19,2.302585092994046,4.804021044733257,4250,20,25,24565.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4.6491870714048655,189.0,4.21803603456465,55.7,3230,5.3471075307174685,3.62,3.39,2.1972245773362196,5.209486152841421,5400,16,22,30760.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4.6491870714048655,193.8,4.232656178019613,53.7,3380,5.3471075307174685,3.62,3.39,2.1972245773362196,5.209486152841421,5400,16,22,41315.0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4.709530201312334,197.0,4.275276264727001,56.3,3505,5.3471075307174685,3.62,3.39,2.1972245773362196,5.209486152841421,5400,15,20,36880.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,4.493120682179469,141.1,4.115779842942166,53.2,1488,4.127134385045092,2.91,3.03,2.3513752571634776,3.8918202981106265,5100,47,53,5151.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,155.9,4.168214410788556,52.0,1874,4.51085950651685,3.03,3.11,2.3608540011180215,4.2626798770413155,5400,38,43,6295.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.5591262474866845,158.8,4.168214410788556,52.0,1909,4.51085950651685,3.03,3.11,2.3608540011180215,4.2626798770413155,5400,38,43,6575.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.550714000192032,157.3,4.1713056033582285,50.8,1876,4.51085950651685,2.97,3.23,2.3427668826268775,4.23410650459726,5500,37,41,5572.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.550714000192032,157.3,4.1713056033582285,50.8,1876,4.51085950651685,2.97,3.23,2.341805806147327,4.23410650459726,5500,31,38,6377.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.550714000192032,157.3,4.1713056033582285,50.8,2128,4.59511985013459,3.03,3.39,2.151762203259462,4.634728988229636,5500,24,30,7957.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,4.550714000192032,157.3,4.1713056033582285,50.6,1967,4.51085950651685,2.97,3.23,2.341805806147327,4.23410650459726,5500,31,38,6229.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.550714000192032,157.3,4.1713056033582285,50.6,1989,4.51085950651685,2.97,3.23,2.341805806147327,4.23410650459726,5500,31,38,6692.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.550714000192032,157.3,4.1713056033582285,50.6,1989,4.51085950651685,2.97,3.23,2.341805806147327,4.23410650459726,5500,31,38,7609.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.550714000192032,157.3,4.1713056033582285,50.6,2191,4.59511985013459,3.03,3.39,2.151762203259462,4.634728988229636,5500,24,30,8558.0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1,4.647271362006727,174.6,4.183575695950044,59.8,2535,4.812184355372417,3.34,3.46,2.2512917986064953,4.48863636973214,5000,24,30,8921.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,4.5736795188967205,173.2,4.209160236650682,50.2,2811,5.056245805348308,3.6,3.9,2.0794415416798357,4.983606621708336,5000,19,24,12964.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,4.472780997942346,144.6,4.1728476237100445,50.8,1713,4.532599493153256,2.91,3.41,2.3608540011180215,4.07753744390572,4800,49,54,6479.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4.472780997942346,144.6,4.1728476237100445,50.8,1819,4.532599493153256,2.91,3.41,2.322387720290225,4.343805421853684,6000,31,38,6855.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4.550714000192032,150.0,4.174387269895637,52.6,1837,4.382026634673881,2.91,3.07,2.4069451083182885,4.110873864173311,5500,38,42,5399.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4.550714000192032,150.0,4.174387269895637,52.6,1940,4.532599493153256,2.91,3.41,2.322387720290225,4.343805421853684,6000,30,34,6529.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4.550714000192032,150.0,4.174387269895637,52.6,1956,4.532599493153256,2.91,3.41,2.322387720290225,4.343805421853684,6000,30,34,7129.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
